repository_name,date,views,unique_visitors/cloners
rtl-ultrasound,2018-09-02,42,19
rtl-ultrasound,2018-09-03,12,11
rtl-ultrasound,2018-09-04,20,13
rtl-ultrasound,2018-09-05,16,9
rtl-ultrasound,2018-09-07,8,3
rtl-ultrasound,2018-09-08,8,4
rtl-ultrasound,2018-09-09,3,2
rtl-ultrasound,2018-09-10,3,3
rtl-ultrasound,2018-09-11,4,3
rtl-ultrasound,2018-09-12,6,2
rtl-ultrasound,2018-09-13,20,7
rtl-ultrasound,2018-09-14,6,3
