repository_name,date,views,unique_visitors/cloners
rtl-ultrasound,2018-09-13,20,7
rtl-ultrasound,2018-09-14,6,3
rtl-ultrasound,2018-09-16,7,2
rtl-ultrasound,2018-09-18,4,2
rtl-ultrasound,2018-09-19,6,5
rtl-ultrasound,2018-09-20,76,4
rtl-ultrasound,2018-09-24,1,1
rtl-ultrasound,2018-09-26,2,1
