repository_name,date,views,unique_visitors/cloners
rtl-ultrasound,2018-11-05,1,1
rtl-ultrasound,2018-11-06,6,3
rtl-ultrasound,2018-11-07,1,1
rtl-ultrasound,2018-11-08,2,2
rtl-ultrasound,2018-11-09,1,1
rtl-ultrasound,2018-11-10,1,1
rtl-ultrasound,2018-11-12,6,2
rtl-ultrasound,2018-11-13,1,1
rtl-ultrasound,2018-11-14,1,1
rtl-ultrasound,2018-11-16,1,1
rtl-ultrasound,2018-11-18,4,4
