repository_name,date,views,unique_visitors/cloners
rtl-ultrasound,2018-08-29,71,9
rtl-ultrasound,2018-08-30,111,74
rtl-ultrasound,2018-08-31,76,42
rtl-ultrasound,2018-09-01,38,20
rtl-ultrasound,2018-09-02,43,20
rtl-ultrasound,2018-09-03,12,11
